"Date","HomeTeam","AwayTeam","FTHG","HTAG","FTR"
2020-09-15,"Ath Bilbao","Real Madrid",1,0,"D"
2020-09-15,"Ath Madrid","Eibar",1,0,"D"
2020-09-15,"Sociedad","Barcelona",1,0,"A"
2020-09-15,"Valencia","Betis",0,0,"D"
2020-09-16,"Espanol","Levante",1,0,"H"
2020-09-16,"Leganes","Villarreal",0,0,"A"
2020-09-16,"Sevilla","Getafe",0,2,"A"
2020-09-16,"Valladolid","Alaves",0,0,"A"
2020-09-17,"Girona","Celta",3,1,"H"
2020-09-21,"Huesca","Sociedad",0,0,"A"
2020-09-22,"Celta","Valladolid",3,1,"D"
2020-09-22,"Eibar","Leganes",1,0,"H"
2020-09-22,"Getafe","Ath Madrid",0,1,"A"
2020-09-22,"Real Madrid","Espanol",1,0,"H"
2020-09-22,"Vallecano","Alaves",1,2,"A"
2020-09-23,"Barcelona","Girona",2,1,"D"
2020-09-23,"Betis","Ath Bilbao",2,2,"D"
2020-09-23,"Levante","Sevilla",2,4,"A"
2020-09-23,"Villarreal","Valencia",0,0,"D"
2020-09-25,"Ath Madrid","Huesca",3,0,"H"
2020-09-25,"Espanol","Eibar",1,0,"H"
2020-09-25,"Sociedad","Vallecano",2,2,"D"
2020-09-26,"Ath Bilbao","Villarreal",0,0,"A"
2020-09-26,"Leganes","Barcelona",2,1,"H"
2020-09-26,"Sevilla","Real Madrid",3,0,"H"
2020-09-26,"Valencia","Celta",1,0,"D"
2020-09-27,"Alaves","Getafe",1,0,"D"
2020-09-27,"Girona","Betis",0,0,"A"
2020-09-27,"Valladolid","Levante",2,0,"H"
2020-09-28,"Vallecano","Espanol",2,2,"D"
2020-09-29,"Barcelona","Ath Bilbao",1,1,"D"
2020-09-29,"Eibar","Sevilla",1,0,"A"
2020-09-29,"Real Madrid","Ath Madrid",0,0,"D"
2020-09-29,"Sociedad","Valencia",0,1,"A"
2020-09-30,"Betis","Leganes",1,0,"H"
2020-09-30,"Huesca","Girona",1,1,"D"
2020-09-30,"Levante","Alaves",2,1,"H"
2020-09-30,"Villarreal","Valladolid",0,0,"A"
2020-10-01,"Celta","Getafe",1,0,"D"
2020-10-05,"Ath Bilbao","Sociedad",1,1,"A"
2020-10-06,"Alaves","Real Madrid",1,0,"H"
2020-10-06,"Getafe","Levante",0,0,"A"
2020-10-06,"Girona","Eibar",2,2,"A"
2020-10-06,"Leganes","Vallecano",1,0,"H"
2020-10-07,"Ath Madrid","Betis",1,0,"H"
2020-10-07,"Espanol","Villarreal",3,1,"H"
2020-10-07,"Sevilla","Celta",2,0,"H"
2020-10-07,"Valencia","Barcelona",1,1,"D"
2020-10-07,"Valladolid","Huesca",1,0,"H"
2020-10-19,"Celta","Alaves",0,0,"A"
2020-10-20,"Barcelona","Sevilla",4,0,"H"
2020-10-20,"Real Madrid","Levante",1,2,"A"
2020-10-20,"Valencia","Leganes",1,0,"D"
2020-10-20,"Villarreal","Ath Madrid",1,0,"D"
2020-10-21,"Betis","Valladolid",0,1,"A"
2020-10-21,"Eibar","Ath Bilbao",1,1,"D"
2020-10-21,"Huesca","Espanol",0,1,"A"
2020-10-21,"Vallecano","Getafe",1,0,"A"
2020-10-22,"Sociedad","Girona",0,0,"D"
2020-10-24,"Vallecano","Ath Bilbao",1,0,"D"
2020-10-26,"Valladolid","Espanol",1,1,"D"
2020-10-27,"Ath Bilbao","Valencia",0,0,"D"
2020-10-27,"Ath Madrid","Sociedad",2,0,"H"
2020-10-27,"Celta","Eibar",4,0,"H"
2020-10-27,"Girona","Vallecano",2,0,"H"
2020-10-27,"Levante","Leganes",2,0,"H"
2020-10-28,"Alaves","Villarreal",2,1,"H"
2020-10-28,"Barcelona","Real Madrid",5,0,"H"
2020-10-28,"Getafe","Betis",2,0,"H"
2020-10-28,"Sevilla","Huesca",2,0,"H"
2020-11-03,"Leganes","Ath Madrid",1,0,"D"
2020-11-03,"Real Madrid","Valladolid",2,0,"H"
2020-11-03,"Valencia","Girona",0,0,"A"
2020-11-03,"Vallecano","Barcelona",2,1,"A"
2020-11-04,"Betis","Celta",3,0,"D"
2020-11-04,"Eibar","Alaves",2,1,"H"
2020-11-04,"Huesca","Getafe",1,0,"D"
2020-11-04,"Sociedad","Sevilla",0,0,"D"
2020-11-04,"Villarreal","Levante",1,0,"D"
2020-11-05,"Espanol","Ath Bilbao",1,0,"H"
2020-11-09,"Levante","Sociedad",1,0,"A"
2020-11-10,"Ath Madrid","Ath Bilbao",3,1,"H"
2020-11-10,"Getafe","Valencia",0,0,"A"
2020-11-10,"Girona","Leganes",0,0,"D"
2020-11-10,"Valladolid","Eibar",0,0,"D"
2020-11-11,"Alaves","Huesca",2,1,"H"
2020-11-11,"Barcelona","Betis",3,2,"A"
2020-11-11,"Celta","Real Madrid",2,1,"A"
2020-11-11,"Sevilla","Espanol",2,1,"H"
2020-11-11,"Vallecano","Villarreal",2,1,"D"
2020-11-23,"Leganes","Alaves",1,0,"H"
2020-11-24,"Ath Madrid","Barcelona",1,0,"D"
2020-11-24,"Eibar","Real Madrid",3,0,"H"
2020-11-24,"Huesca","Levante",2,1,"D"
2020-11-24,"Valencia","Vallecano",3,0,"H"
2020-11-25,"Ath Bilbao","Getafe",1,0,"D"
2020-11-25,"Espanol","Girona",1,2,"A"
